名称,经度,纬度,高度,创建时间,注解,类型
TrackPt00201,113 19'42.60"E,23 6'37.78"N,16.8,2019.9.17 10:17:59,,默认图标模式
TrackPt00202,113 19'42.62"E,23 6'37.36"N,16.7,2019.9.17 10:18:00,,默认图标模式
TrackPt00203,113 19'42.64"E,23 6'36.95"N,16.5,2019.9.17 10:18:01,,默认图标模式
TrackPt00204,113 19'42.66"E,23 6'36.54"N,16.3,2019.9.17 10:18:02,,默认图标模式
TrackPt00205,113 19'42.67"E,23 6'36.14"N,16.1,2019.9.17 10:18:03,,默认图标模式
TrackPt00206,113 19'42.68"E,23 6'35.76"N,15.7,2019.9.17 10:18:04,,默认图标模式
TrackPt00207,113 19'42.70"E,23 6'35.39"N,15.7,2019.9.17 10:18:05,,默认图标模式
TrackPt00208,113 19'42.70"E,23 6'35.03"N,15.5,2019.9.17 10:18:06,,默认图标模式
TrackPt00209,113 19'42.70"E,23 6'34.68"N,15.2,2019.9.17 10:18:07,,默认图标模式
TrackPt00210,113 19'42.69"E,23 6'34.32"N,14.9,2019.9.17 10:18:08,,默认图标模式
TrackPt00211,113 19'42.67"E,23 6'33.97"N,14.8,2019.9.17 10:18:09,,默认图标模式
TrackPt00212,113 19'42.64"E,23 6'33.61"N,14.5,2019.9.17 10:18:10,,默认图标模式
TrackPt00213,113 19'42.61"E,23 6'33.23"N,13.8,2019.9.17 10:18:11,,默认图标模式
TrackPt00214,113 19'42.59"E,23 6'32.84"N,13.8,2019.9.17 10:18:12,,默认图标模式
TrackPt00215,113 19'42.58"E,23 6'32.44"N,13.5,2019.9.17 10:18:13,,默认图标模式
TrackPt00216,113 19'42.57"E,23 6'32.03"N,13.2,2019.9.17 10:18:14,,默认图标模式
TrackPt00217,113 19'42.57"E,23 6'31.62"N,12.8,2019.9.17 10:18:15,,默认图标模式
TrackPt00218,113 19'42.55"E,23 6'31.20"N,12.1,2019.9.17 10:18:16,,默认图标模式
TrackPt00219,113 19'42.53"E,23 6'30.79"N,11.6,2019.9.17 10:18:17,,默认图标模式
TrackPt00220,113 19'42.50"E,23 6'30.36"N,11.1,2019.9.17 10:18:18,,默认图标模式
TrackPt00221,113 19'42.47"E,23 6'29.95"N,10.5,2019.9.17 10:18:19,,默认图标模式
TrackPt00222,113 19'42.43"E,23 6'29.54"N,10.1,2019.9.17 10:18:20,,默认图标模式
